row_id,year,month,mdate,sensor_id,sensor_name,pedestrain_counts,rank
154,2009,August,16,6,Flinders Street Station Underpass,13070,5.0
155,2009,August,16,1,Bourke Street Mall (North),12961,6.0
156,2009,August,16,15,State Library,12115,7.0
157,2009,August,16,16,Australia on Collins,9125,8.0
158,2009,August,16,12,New Quay,4853,9.0
159,2009,August,16,14,Sandridge Bridge,4747,10.0
160,2009,August,17,4,Town Hall (West),32053,1.0
161,2009,August,17,6,Flinders Street Station Underpass,25567,2.0
162,2009,August,17,2,Bourke Street Mall (South),25272,3.0
163,2009,August,17,3,Melbourne Central,25211,4.0
164,2009,August,17,13,Flagstaff Station,25002,5.0
165,2009,August,17,5,Princes Bridge,19934,6.0
166,2009,August,17,15,State Library,17983,7.0
167,2009,August,17,1,Bourke Street Mall (North),17751,8.0
168,2009,August,17,16,Australia on Collins,16904,9.0
169,2009,August,17,17,Collins Place (South),13134,10.0
170,2009,August,18,4,Town Hall (West),31931,1.0
171,2009,August,18,3,Melbourne Central,26251,2.0
172,2009,August,18,6,Flinders Street Station Underpass,25947,3.0
173,2009,August,18,13,Flagstaff Station,25642,4.0
174,2009,August,18,2,Bourke Street Mall (South),24825,5.0
175,2009,August,18,5,Princes Bridge,21027,6.0
176,2009,August,18,15,State Library,18422,7.0
177,2009,August,18,1,Bourke Street Mall (North),17411,8.0
178,2009,August,18,16,Australia on Collins,16726,9.0
179,2009,August,18,17,Collins Place (South),13619,10.0
180,2009,August,19,4,Town Hall (West),34104,1.0
181,2009,August,19,2,Bourke Street Mall (South),27276,2.0
182,2009,August,19,3,Melbourne Central,27232,3.0
183,2009,August,19,6,Flinders Street Station Underpass,26891,4.0
184,2009,August,19,13,Flagstaff Station,25295,5.0
185,2009,August,19,5,Princes Bridge,25078,6.0
186,2009,August,19,15,State Library,19181,7.0
187,2009,August,19,1,Bourke Street Mall (North),18408,8.0
188,2009,August,19,16,Australia on Collins,17408,9.0
189,2009,August,19,17,Collins Place (South),14079,10.0
190,2009,August,20,4,Town Hall (West),33930,1.0
191,2009,August,20,2,Bourke Street Mall (South),28348,2.0
192,2009,August,20,3,Melbourne Central,27090,3.0
193,2009,August,20,13,Flagstaff Station,26776,4.0
194,2009,August,20,6,Flinders Street Station Underpass,25758,5.0
195,2009,August,20,5,Princes Bridge,21929,6.0
196,2009,August,20,15,State Library,18872,7.0
197,2009,August,20,1,Bourke Street Mall (North),18665,8.0
198,2009,August,20,16,Australia on Collins,17766,9.0
199,2009,August,20,17,Collins Place (South),14228,10.0
200,2009,August,21,4,Town Hall (West),41733,1.0
201,2009,August,21,2,Bourke Street Mall (South),33760,2.0
202,2009,August,21,3,Melbourne Central,31101,3.0
203,2009,August,21,6,Flinders Street Station Underpass,27771,4.0
204,2009,August,21,5,Princes Bridge,25480,5.0
205,2009,August,21,1,Bourke Street Mall (North),24307,6.0
206,2009,August,21,13,Flagstaff Station,22554,7.0
207,2009,August,21,16,Australia on Collins,20117,8.0
208,2009,August,21,15,State Library,19720,9.0
209,2009,August,21,17,Collins Place (South),13705,10.0
210,2009,August,22,4,Town Hall (West),36938,1.0
211,2009,August,22,3,Melbourne Central,30102,2.0
212,2009,August,22,2,Bourke Street Mall (South),28467,3.0
213,2009,August,22,5,Princes Bridge,25245,4.0
214,2009,August,22,6,Flinders Street Station Underpass,19525,5.0
215,2009,August,22,1,Bourke Street Mall (North),19381,6.0
216,2009,August,22,15,State Library,16726,7.0
217,2009,August,22,16,Australia on Collins,13663,8.0
218,2009,August,22,14,Sandridge Bridge,7533,9.0
219,2009,August,22,12,New Quay,7202,10.0
220,2009,August,23,4,Town Hall (West),28861,1.0
221,2009,August,23,3,Melbourne Central,22037,2.0
222,2009,August,23,2,Bourke Street Mall (South),21582,3.0
223,2009,August,23,5,Princes Bridge,20608,4.0
224,2009,August,23,6,Flinders Street Station Underpass,16130,5.0
225,2009,August,23,1,Bourke Street Mall (North),13576,6.0
226,2009,August,23,15,State Library,12553,7.0
227,2009,August,23,16,Australia on Collins,9497,8.0
228,2009,August,23,12,New Quay,8388,9.0
229,2009,August,23,11,Waterfront City,6958,10.0
230,2009,August,24,4,Town Hall (West),29168,1.0
231,2009,August,24,13,Flagstaff Station,26929,2.0
232,2009,August,24,2,Bourke Street Mall (South),24590,3.0
233,2009,August,24,6,Flinders Street Station Underpass,24245,4.0
234,2009,August,24,5,Princes Bridge,22151,5.0
235,2009,August,24,3,Melbourne Central,21556,6.0
236,2009,August,24,1,Bourke Street Mall (North),16166,7.0
237,2009,August,24,15,State Library,15912,8.0
238,2009,August,24,16,Australia on Collins,15660,9.0
239,2009,August,24,17,Collins Place (South),13181,10.0
240,2009,August,25,4,Town Hall (West),27805,1.0
241,2009,August,25,13,Flagstaff Station,25638,2.0
242,2009,August,25,6,Flinders Street Station Underpass,23404,3.0
243,2009,August,25,2,Bourke Street Mall (South),23390,4.0
244,2009,August,25,3,Melbourne Central,21301,5.0
245,2009,August,25,5,Princes Bridge,17534,6.0
246,2009,August,25,16,Australia on Collins,15168,7.0
247,2009,August,25,15,State Library,15005,8.0
248,2009,August,25,1,Bourke Street Mall (North),14403,9.0
249,2009,August,25,17,Collins Place (South),12764,10.0
250,2009,August,26,4,Town Hall (West),30998,1.0
251,2009,August,26,2,Bourke Street Mall (South),25647,2.0
252,2009,August,26,13,Flagstaff Station,25143,3.0
253,2009,August,26,3,Melbourne Central,24978,4.0
254,2009,August,26,6,Flinders Street Station Underpass,24962,5.0
255,2009,August,26,5,Princes Bridge,21932,6.0
256,2009,August,26,15,State Library,17548,7.0
257,2009,August,26,1,Bourke Street Mall (North),16416,8.0
258,2009,August,26,16,Australia on Collins,15967,9.0
259,2009,August,26,17,Collins Place (South),13697,10.0
260,2009,August,27,4,Town Hall (West),35218,1.0
261,2009,August,27,2,Bourke Street Mall (South),29065,2.0
262,2009,August,27,3,Melbourne Central,27898,3.0
263,2009,August,27,6,Flinders Street Station Underpass,26878,4.0
264,2009,August,27,13,Flagstaff Station,25595,5.0
265,2009,August,27,5,Princes Bridge,22706,6.0
